probe,log2FC,pvalue,padj
214777_at,1.5659097369011228,5.4180839811499557e-08,3.281629936177343e-07
204540_at,1.4218126473976076,5.924766886874441e-08,3.561413017000894e-07
217179_x_at,1.1044773990714276,6.818943431728508e-08,4.058400547254443e-07
209810_at,-1.3280943867477113,8.276425754283269e-08,4.850699502438035e-07
216984_x_at,1.040365926700563,9.846545161389143e-08,5.715305179245487e-07
214973_x_at,1.081863816698803,1.0138431499325119e-07,5.866389745506664e-07
208250_s_at,-1.170829037228712,1.04702350709616e-07,6.047442806586609e-07
37004_at,-1.2861562070957042,1.142274345453945e-07,6.556748902563178e-07
201693_s_at,-1.0480314166227984,1.2658358025159063e-07,7.219508366383911e-07
208791_at,-1.034643860913791,1.3129145685920915e-07,7.466992172521076e-07
215176_x_at,1.352148076209005,1.550576418946885e-07,8.700579436967716e-07
215214_at,1.3224729736692469,2.0651526439686162e-07,1.1323276664752134e-06
204259_at,1.2688205347163954,2.1082915210106806e-07,1.1534264660614043e-06
209101_at,-1.0400857882807895,2.1490400504845634e-07,1.1737024373761647e-06
218002_s_at,1.4608530237762158,3.0248956847500795e-07,1.607147127879972e-06
220431_at,1.0039032491833213,3.4428396774105393e-07,1.8162120391036707e-06
205549_at,1.1947449066498939,4.3723531747169705e-07,2.2563489067211266e-06
206884_s_at,-1.1436103640380022,5.204749489259065e-07,2.6490962281671938e-06
205513_at,1.0147423779176634,6.440549032825883e-07,3.2243260862381295e-06
217109_at,1.3401421298332155,8.550379964123708e-07,4.198504115041176e-06
206504_at,1.0761761969176638,8.915585680485136e-07,4.354800432228196e-06
217110_s_at,1.1876103022487694,1.2160079705936492e-06,5.791046293810277e-06
204622_x_at,-1.0255517015341313,2.0463974752704486e-06,9.309896884738955e-06
202718_at,1.0536513172902886,2.237450719501757e-06,1.0100711990003577e-05
209277_at,1.1167091731861367,2.3927427398830955e-06,1.0740831279777402e-05
204621_s_at,-1.0694324491586897,2.721966468044898e-06,1.2104086770593587e-05
209189_at,-1.1168311955928925,2.8825743119669388e-06,1.2736942969176938e-05
212531_at,1.1854552520482056,5.184982455618927e-06,2.200704077305839e-05
209278_s_at,1.3675760445686151,5.672286998393827e-06,2.3938555148713946e-05
216248_s_at,-1.1051806385816336,7.775275184720457e-06,3.208452906317147e-05
205207_at,-1.1035846228909207,1.0517523874025814e-05,4.2518502265043035e-05
213432_at,1.2107665285943003,2.248864352327235e-05,8.561668266343377e-05
203913_s_at,-1.0332848277484166,3.302742112189084e-05,0.00012263789782687777
209374_s_at,1.1459704066027463,4.748817055446341e-05,0.00017144829949207845
214612_x_at,1.2455403830672083,6.823488229754581e-05,0.0002394830496513173
209942_x_at,1.1428546390140752,9.546205518686524e-05,0.00032580502002280874
